,X,Y,commune
0,2.71246695567835,50.3932495115657,Ablain-Saint-Nazaire
1,2.71240210473387,50.390384673763,Ablain-Saint-Nazaire
2,2.70963811900866,50.3923721306871,Ablain-Saint-Nazaire
3,2.88829493551882,50.3852920527387,Acheville
4,2.71212196450165,50.4217796334372,Aix-Noulette
5,2.72518205637062,50.415355681668,Aix-Noulette
6,2.71990609234797,50.4165534973555,Aix-Noulette
7,2.70724105784148,50.4234962460592,Aix-Noulette
8,2.69589209563121,50.4412536621324,Aix-Noulette
9,2.70522594548819,50.4254722595747,Aix-Noulette
10,2.71067690757528,50.4261245733209,Aix-Noulette
11,2.7109179501019,50.4274711607868,Aix-Noulette
12,2.76878595360687,50.4054641720093,Angres
13,2.75870609319327,50.40502166708,Angres
14,2.76168990108112,50.4036636353382,Angres
15,2.75875401515859,50.4124183645523,Angres
16,2.75228905691499,50.4103012079143,Angres
17,2.76893305774363,50.4040298458317,Angres
18,2.75498008753227,50.4069213869744,Angres
19,2.89205598806003,50.4608879090245,Annay-sous-Lens
20,2.88291502070198,50.4597969057973,Annay-sous-Lens
21,2.89366698330784,50.4596443180763,Annay-sous-Lens
22,2.88500809647294,50.4663619998496,Annay-sous-Lens
23,2.87888789188261,50.4657249447783,Annay-sous-Lens
24,2.8769450191095,50.4622116086171,Annay-sous-Lens
25,2.87031793616817,50.4598846443088,Annay-sous-Lens
26,2.83102297831958,50.399837494177,Avion
27,2.8326818944524,50.3997688286223,Avion
28,2.83253693562294,50.3989562991427,Avion
29,2.83179902971898,50.3993835447702,Avion
30,2.83029794692648,50.3983840935963,Avion
31,2.83280801808835,50.3993949890308,Avion
32,2.83073401488849,50.3977432250937,Avion
33,2.83066296530281,50.3989868163512,Avion
34,2.83555102249792,50.4016304017237,Avion
35,2.83152008122304,50.3988838196919,Avion
36,2.83128309266444,50.3991508476296,Avion
37,2.83574891148059,50.4006042479826,Avion
38,2.8347709175671,50.4011878974102,Avion
39,2.8327291008486,50.4013633733473,Avion
40,2.83352494184913,50.4013557426112,Avion
41,2.84844303149654,50.4113006588626,Avion
42,2.84601998232607,50.4158630368542,Avion
43,2.81536889170441,50.4111480707466,Avion
44,2.84174490025418,50.3996391304017,Avion
45,2.84820795104595,50.4147949221685,Avion
46,2.81244397178497,50.4039230350638,Avion
47,2.85511088393403,50.410774230743,Avion
48,2.81415104962172,50.4084434506054,Avion
49,2.80942297021152,50.3983421332591,Avion
50,2.83782005277899,50.4161987302317,Avion
51,2.83316302344702,50.4146728520516,Avion
52,2.82130694450699,50.4073257448177,Avion
53,2.84150505113757,50.4221267703201,Avion
54,2.84981894478304,50.4124717713622,Avion
55,2.84467411058891,50.4028816215943,Avion
56,2.83433890315316,50.4052238460036,Avion
57,2.83438396481451,50.4072685241139,Avion
58,2.83972907132869,50.4036331180868,Avion
59,2.84272098486876,50.4044723508839,Avion
60,2.81058406843455,50.4122467041473,Avion
61,2.8313310148595,50.397644042771,Avion
62,2.81901907894965,50.410808562824,Avion
63,2.83512997658477,50.3975791927671,Avion
64,2.82020211209292,50.4158706674165,Avion
65,2.83516406939299,50.4093093872959,Avion
66,2.83073997522483,50.405242919828,Avion
67,2.83471798897182,50.4109535220978,Avion
68,2.84639811497366,50.4115104679491,Avion
69,2.81800794578431,50.4074287409847,Avion
70,2.83929300317401,50.3963546752718,Avion
71,2.80888295194108,50.4126739496548,Avion
72,2.80939292946196,50.402675628643,Avion
73,2.82746910997969,50.4016723630122,Avion
74,2.84072589862908,50.408443450801,Avion
75,,,Bénifontaine
76,2.81862306608238,50.4631233216341,Bénifontaine
77,2.90490102810942,50.4120292662251,Billy-Montigny
78,2.91130709545104,50.4192161556007,Billy-Montigny
79,2.91619491551477,50.4184074400494,Billy-Montigny
80,2.91982293163981,50.4115409851505,Billy-Montigny
81,2.9149560925184,50.4121437070586,Billy-Montigny
82,2.91851091403229,50.4183883668429,Billy-Montigny
83,2.89233303138706,50.4120101932979,Billy-Montigny
84,2.91286802263383,50.4131050106499,Billy-Montigny
85,2.91603207589844,50.4229621885539,Billy-Montigny
86,2.9128820904707,50.4180526728821,Billy-Montigny
87,2.91182708697183,50.415809631381,Billy-Montigny
88,2.92174792278844,50.4140663150347,Billy-Montigny
89,2.91074609768627,50.4150466920494,Billy-Montigny
90,2.9103200443476,50.4205322274117,Billy-Montigny
91,2.90166711749278,50.4177207949267,Billy-Montigny
92,2.9031140802406,50.4180755620609,Billy-Montigny
93,2.6661961079083,50.4248008731288,Bouvigny-Boyeffles
94,2.67884206818837,50.4372253417353,Bouvigny-Boyeffles
95,2.67884206818837,50.4372253417353,Bouvigny-Boyeffles
96,2.67369103357017,50.4342384339189,Bouvigny-Boyeffles
97,2.68516707457132,50.4153213500139,Bouvigny-Boyeffles
98,2.68334388714876,50.4209938047576,Bouvigny-Boyeffles
99,2.72019600863081,50.4381294249044,Bully-les-Mines
100,2.72706198743593,50.4459648130926,Bully-les-Mines
101,2.72803902613777,50.4467735290255,Bully-les-Mines
102,2.73717498808832,50.4453124998016,Bully-les-Mines
103,2.73693203901971,50.4413070683523,Bully-les-Mines
104,2.72754192387722,50.4517517086407,Bully-les-Mines
105,2.72131299978152,50.4463348394428,Bully-les-Mines
106,2.73579311448508,50.438434601396,Bully-les-Mines
107,2.71288108777666,50.4583930974462,Bully-les-Mines
108,2.7199559211864,50.4428672790156,Bully-les-Mines
109,2.71805501023501,50.4370002753375,Bully-les-Mines
110,2.72691392945005,50.4366569523595,Bully-les-Mines
111,2.69959402129796,50.4592475888416,Bully-les-Mines
