X,Y,patronyme_,objectid,numero_uai,appellatio,denominati,secteur_pu,adresse_ua,lieu_dit_u,boite_post,code_posta,localite_a,libelle_co,coordonnee,coordonn_1,epsg,latitude,longitude,appariemen,localisati,nature_uai,nature_u_1,etat_etabl,etat_eta_1,code_depar,code_regio,code_acade,code_commu,libelle_de,libelle_re,libelle_ac,secteur_pr,secteur__1,eff_1920,statut,dat_ferm,euroscol,eff_2021,eff_2122,eff_2223
2.88682626925635,50.4256888665376,JEAN MOULIN,36,0623940W,Ecole primaire Jean Moulin,ECOLE PRIMAIRE PUBLIQUE,Public,Rue Jean Moulin, , ,62221,NOYELLES SOUS LENS,NOYELLES-SOUS-LENS,691946.3,7036467.2,EPSG:2154,50.42568887,2.88682627,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1,OUVERT,62,32,09,62628,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,360,Ouvert,,NON,359,365,
2.77410587445992,50.4364304605799,PIERRE BROSSOLETTE,37,0624117N,Ecole primaire Pierre Brossolette,ECOLE PRIMAIRE PUBLIQUE,Public,Rue Bizet, ,97,62800,LIEVIN,LIEVIN,683928.3,7037681,EPSG:2154,50.43643046,2.77410587,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1,OUVERT,62,32,09,62510,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,217,Ouvert,,NON,230,239,
2.84285022580119,50.4077889367289,DU RC LENS,38,0624394P,Lycée technologique privé hors contrat du RC LENS d'AVION,ECOLE TECHNOLOGIQUE PRIVEE,Privé,33 rue ARTHUR LAMENDIN,LA GAILLETTE,23,62210,AVION,AVION,688812.9,7034478.6,EPSG:2154,50.40778894,2.84285023,Parfaite,Numéro de rue,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,1,OUVERT,62,32,09,62065,Pas-de-Calais,Hauts-de-France,Lille,10,HORS CONTRAT,0,Fermé,2019/08/31 00:00:00+00,NON,0,0,
2.83417511318853,50.4029101414737,PABLO PICASSO,39,0620027T,Lycée polyvalent Pablo Picasso,LYCEE POLYVALENT,Public,2 boulevard Anatole France, ,67,62210,AVION,AVION,688194.2,7033936.4,EPSG:2154,50.40291014,2.83417511,Parfaite,Numéro de rue,306,LYCEE POLYVALENT,1,OUVERT,62,32,09,62065,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,551,Ouvert,,NON,450,452,
2.71239555224428,50.4378840329967,LEO LAGRANGE,40,0620059C,"Lycée professionnel Léo Lagrange - Lycée des Métiers de la personne, santé, social",LP LYCEE DES METIERS,Public,Rue VICTOR SCHOELCHER, ,109,62160,BULLY LES MINES,BULLY-LES-MINES,679538.4,7037857.2,EPSG:2154,50.43788403,2.71239555,Parfaite,Numéro de rue,320,LYCEE PROFESSIONNEL,1,OUVERT,62,32,09,62186,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,1026,Ouvert,,NON,993,967,
2.76932715923015,50.4115104063268,HENRI DARRAS,41,0620113L,Lycée général et technologique Henri Darras - Lycée des Métiers de la Chaudronnerie Industrielle,LGT LYCEE DES METIERS,Public,Chemin des Manufactures, ,134,62803,LIEVIN CEDEX,LIEVIN,683580.2,7034906,EPSG:2154,50.41151041,2.76932716,Parfaite,Numéro de rue,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,1,OUVERT,62,32,09,62510,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,1178,Ouvert,,NON,1203,1256,
2.79572407106206,50.4570166867957,RENE CASSIN,42,0620123X,Collège René Cassin,COLLEGE,Public,90 rue René Cassin, , ,62750,LOOS EN GOHELLE,LOOS-EN-GOHELLE,685472.3,7039970.1,EPSG:2154,50.45701669,2.79572407,Parfaite,Numéro de rue,340,COLLEGE,1,OUVERT,62,32,09,62528,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,339,Ouvert,,NON,329,327,
2.72426238604836,50.4366973953184,ANITA CONTI,43,0620197C,Collège Anita Conti,COLLEGE,Public,RUE JULES VERNE, ,119,62160,BULLY LES MINES,BULLY-LES-MINES,680382.2,7037722,EPSG:2154,50.4366974,2.72426239,Parfaite,Numéro de rue,340,COLLEGE,1,OUVERT,62,32,09,62186,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,654,Ouvert,,NON,625,619,
2.81422596625439,50.4077357488685,ANDRE PARENT,44,0620267D,Ecole maternelle André Parent,ECOLE MATERNELLE PUBLIQUE,Public,Boulevard Henri Martel, , ,62210,AVION,AVION,686775.2,7034477.1,EPSG:2154,50.40773575,2.81422597,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1,OUVERT,62,32,09,62065,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,100,Ouvert,,NON,92,97,
2.82868509987851,50.411009975288,JEAN LURCAT,45,0620268E,Ecole maternelle Jean Lurçat,ECOLE MATERNELLE PUBLIQUE,Public,28 rue Marcel Dandre, , ,62210,AVION,AVION,687805.3,7034839.5,EPSG:2154,50.41100998,2.8286851,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1,OUVERT,62,32,09,62065,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,141,Ouvert,,NON,133,115,
2.82984287470987,50.4305321549063,CELINE ROUQUIE,46,0620297L,Ecole maternelle Céline Rouquié,ECOLE MATERNELLE PUBLIQUE,Public,43 rue Eugène Bar, , ,62300,LENS,LENS,687892.4,7037014,EPSG:2154,50.43053215,2.82984288,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1,OUVERT,62,32,09,62498,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,173,Ouvert,,NON,175,154,
2.80575589026742,50.4258465901192,ALFRED MAES,47,0620301R,Ecole maternelle Alfred Maës,ECOLE MATERNELLE PUBLIQUE,Public,301 avenue Alfred Maes, , ,62300,LENS,LENS,686177.2,7036496,EPSG:2154,50.42584659,2.80575589,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1,OUVERT,62,32,09,62498,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,59,Ouvert,,NON,54,61,
