objectid,id,nature,etat,date_creat,date_maj,date_app,date_conf,source,id_source,prec_plani,prec_alti,z_min_sol,z_min_toit,hauteur,z_max_toit,z_max_sol,origin_bat,volume,Shape__Area,Shape__Length
79,RESERVOI0000000045820168,Réservoir d'eau ou château d'eau au sol,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,105.40000153,0,4.5999999,111.90000153,109.19999695,Imagerie aérienne,0,124.67578125,39.7091283738993
80,RESERVOI0000000292388296,Château d'eau,En service,2011/12/05 21:19:06,2019-07-03 08:36:32,,, , ,3,2.5,127.69999695,138.6000061,10.89999962,139.80000305,129.8999939,Cadastre,0,51.0966796875,25.4074556020194
81,RESERVOI0000000310640691,Réservoir d'eau ou château d'eau au sol,En service,2012/08/21 13:11:44,2019-07-03 08:36:32,,2009/07/01 00:00:00+00, , ,2.5,1.5,112.09999847,0,4.9000001,118.30000305,116.09999847,Imagerie aérienne,0,20.4814453125,16.3843855280362
82,RESERVOI0000000292506168,Réservoir d'eau ou château d'eau au sol,En service,2011/12/08 09:03:15,2019-07-03 08:36:32,,, , ,3,2.5,62.90000153,68.5,5.5999999,69.69999695,63.40000153,Cadastre,0,364.2734375,83.0430004760952
83,RESERVOI0000000293483256,Réservoir d'eau ou château d'eau au sol,En service,2011/12/21 05:50:53,2019-07-03 08:36:32,,, , ,3,1,42,49.09999847,7.0999999,53.5,42.70000076,Cadastre,0,218.1689453125,52.4446423827249
84,RESERVOI0000000293750075,Inconnue,En service,2012/01/04 09:47:11,2019-07-03 08:36:32,,, , ,3,1,37.79999924,52.20000076,14.39999962,52.40000153,38.29999924,Cadastre,0,125.8466796875,39.9294119967519
85,RESERVOI0000000291942173,Réservoir industriel,En service,2011/11/28 09:38:25,2019-07-03 08:36:32,,, , ,3,1,67.5,72,4.5,87.90000153,68.30000305,Cadastre,0,79.61328125,35.6945700122189
86,RESERVOI0000000292332826,Château d'eau,En service,2011/12/05 09:05:16,2019-07-03 08:36:32,,, , ,3,1,59.79999924,74.30000305,14.39999962,113.59999847,60.40000153,Cadastre,0,347.078125,66.1503338786262
87,RESERVOI0000002000105101,Réservoir d'eau ou château d'eau au sol,En service,2016/09/26 16:58:45,2019-07-03 08:36:32,,, , ,3,9999,41,0,0,0,0,Imagerie aérienne,0,103.8857421875,36.2110352456305
88,RESERVOI0000002000125816,Réservoir industriel,En service,2016/09/29 17:52:14,2019-07-03 08:36:32,,, , ,3,9999,48,0,0,0,0,Imagerie aérienne,0,7.7783203125,9.9741719532382
89,RESERVOI0000002000125817,Réservoir industriel,En service,2016/09/29 17:52:14,2019-07-03 08:36:32,,, , ,3,9999,48,0,0,0,0,Imagerie aérienne,0,7.779296875,9.97420483404824
90,RESERVOI0000002000125818,Réservoir industriel,En service,2016/09/29 17:52:16,2019-07-03 08:36:32,,, , ,3,9999,48,0,0,0,0,Imagerie aérienne,0,7.77734375,9.97424101402772
91,RESERVOI0000002000125819,Réservoir industriel,En service,2016/09/29 17:52:16,2019-07-03 08:36:32,,, , ,3,9999,48,0,0,0,0,Imagerie aérienne,0,7.77734375,9.97426896313152
92,RESERVOI0000002000125820,Réservoir industriel,En service,2016/09/29 17:52:16,2019-07-03 08:36:32,,, , ,3,9999,48,0,0,0,0,Imagerie aérienne,0,7.775390625,9.97425334355832
93,RESERVOI0000002000125821,Réservoir industriel,En service,2016/09/29 17:52:16,2019-07-03 08:36:32,,, , ,3,9999,48,0,0,0,0,Imagerie aérienne,0,7.779296875,9.97419251184258
94,RESERVOI0000000352119483,Réservoir industriel,En service,2015/07/07 21:13:12,2019-12-09 12:37:33,,2014/07/01 00:00:00+00, , ,3,9999,0,0,0,0,0,Imagerie aérienne,0,306.03515625,70.6994557277835
95,RESERVOI0000000045820066,Château d'eau,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,62.79999924,0,23.10000038,0,0,Imagerie aérienne,0,38.771484375,22.9556748636503
96,RESERVOI0000000310981977,Réservoir industriel,En service,2012/08/22 13:26:41,2019-07-03 08:36:32,,2009/07/01 00:00:00+00, , ,2.5,1.5,27.20000076,0,38.70000076,0,0,Imagerie aérienne,0,1312.1015625,166.779242077169
97,RESERVOI0000000292176914,Château d'eau,En service,2011/12/01 11:57:04,2019-07-03 08:36:32,,, , ,3,2.5,37,69.59999847,32.59999847,0,0,Cadastre,0,55.736328125,26.5536074924987
98,RESERVOI0000000045819778,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,26,0,5.4000001,0,0,Imagerie aérienne,0,62.7080078125,28.8991093508211
99,RESERVOI0000000045819776,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,22,0,17.29999924,0,0,Imagerie aérienne,0,165.8828125,46.4267014031709
100,RESERVOI0000000045819777,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,22,0,17.5,0,0,Imagerie aérienne,0,173.884765625,47.6467001753351
101,RESERVOI0000000045819781,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,26,0,5.9000001,0,0,Imagerie aérienne,0,69.947265625,30.542069284586
102,RESERVOI0000000045819893,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,26,0,7,0,0,Imagerie aérienne,0,79.1142578125,33.5036632571032
103,RESERVOI0000000045819892,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,26,0,7,0,0,Imagerie aérienne,0,79.1640625,33.0310382562193
